image number,scene category,filename,hits,misses,false_alarms,correct_rejections
1,airport_terminal,sun_aaajuldidvlcyzhv.jpg,35,32,5,70
2,cockpit,sun_aafdakhlyemdidhj.jpg,49,16,23,47
3,bathroom,sun_aafpallawmjtlxbq.jpg,68,8,9,76
4,airport_terminal,sun_aafvrsnoikyyntky.jpg,56,10,17,59
5,amusement_park,sun_aahaqbedkotbsthx.jpg,61,17,9,76
6,bathroom,sun_aaiqbxiwgpekxqsm.jpg,40,41,0,87
7,bedroom,sun_aajkssnqewzirmmf.jpg,41,10,3,59
8,cockpit,sun_aajlayyngiopgdzi.jpg,66,11,6,77
9,kitchen,sun_aaktvzxuzcrholrn.jpg,41,35,6,75
10,kitchen,sun_aalrsaxeqqthtwnd.jpg,40,24,9,62
11,kitchen,sun_aalvhwdpyoipnzzy.jpg,55,14,9,65
12,lighthouse,sun_aammqtcutfihiigl.jpg,74,8,30,60
13,bathroom,sun_aanjcbzdvtvblsdy.jpg,41,34,19,69
14,kitchen,sun_aaofphpvkeqlhwgu.jpg,50,25,3,81
15,airport_terminal,sun_aaotjvucbfgmtzjj.jpg,69,17,8,85
16,conference_room,sun_aaovkqlsvacznbgr.jpg,42,31,7,75
17,living_room,sun_aaovtbniyzpboymw.jpg,47,26,11,77
18,airport_terminal,sun_aaphkzwyhkodgwey.jpg,51,17,1,75
19,castle,sun_aapllsgqtsrtudau.jpg,40,35,6,77
20,kitchen,sun_aaqawxqotnzysend.jpg,30,28,4,58
21,bedroom,sun_aargjckpqizjlath.jpg,45,21,4,70
22,kitchen,sun_aargqoyvvsvylmht.jpg,27,33,8,57
23,kitchen,sun_aarrcygkwuzaeiuk.jpg,42,25,11,65
24,tower,sun_aarrqqpynymzyqcd.jpg,37,27,8,60
25,amusement_park,sun_aarzwginlqrfnzvf.jpg,32,50,2,85
26,cockpit,sun_aasazkdidicwjsvv.jpg,52,26,23,64
27,kitchen,sun_aaslbwtcdcwjukuo.jpg,47,33,8,79
28,golf_course,sun_aatmuzoutxkrdikv.jpg,46,32,27,61
29,golf_course,sun_aattbuwagkecsqek.jpg,48,33,8,77
30,bedroom,sun_aatticrxcjseocpj.jpg,47,25,15,66
31,bathroom,sun_aauqnwburbyamyzc.jpg,61,12,1,80
32,golf_course,sun_aauyjffemrxqcirn.jpg,45,26,10,65
33,amusement_park,sun_aavgrdvhbtrmxhpy.jpg,43,20,12,57
34,golf_course,sun_aavhgvwuonuoajdt.jpg,39,34,2,77
35,amusement_park,sun_aavzkrsxitfkewlv.jpg,71,5,2,80
36,living_room,sun_aawlazprqrjhwtpa.jpg,51,23,27,57
37,lighthouse,sun_aazgsatywaxsgwlw.jpg,54,22,27,55
38,bathroom,sun_aazqzpomyylceich.jpg,47,21,16,56
39,bridge,sun_abagndtkcaikrgux.jpg,45,39,1,92
40,golf_course,sun_abauvuqxzsxdgtsx.jpg,49,18,7,64
41,amusement_park,sun_abcexmhrrazffdxe.jpg,62,20,26,62
42,cockpit,sun_abchldffyzrykkwt.jpg,56,25,21,64
43,cockpit,sun_abcppolmjdrtjmev.jpg,48,20,3,70
44,golf_course,sun_abcwfshruftobgfp.jpg,46,22,5,68
45,golf_course,sun_abdhzwyflrucajwm.jpg,58,9,8,65
46,bathroom,sun_abetqmkvxzzfsgko.jpg,62,24,15,75
47,conference_room,sun_abeyhmxodahoieyk.jpg,44,28,8,73
48,bathroom,sun_abeymlrfgckenfyk.jpg,60,18,4,85
49,kitchen,sun_abgovsbwwyozjdzp.jpg,50,29,20,67
50,amusement_park,sun_abgtntbkjhtwkihs.jpg,53,7,1,69
