number,filename,memorability
1,00051110.jpg,0.675000
2,00016503.jpg,0.729167
3,00035805.jpg,0.930233
4,00009320.jpg,0.725000
5,00016469.jpg,0.825000
6,00028954.jpg,0.763158
7,00010618.jpg,0.750000
8,00008137.jpg,0.739130
9,00054669.jpg,0.761905
10,00045022.jpg,0.850000
11,00012133.jpg,0.736842
12,00049040.jpg,0.911765
13,00058271.jpg,0.888889
14,00015093.jpg,0.820513
15,00030202.jpg,0.837838
16,00046039.jpg,0.780488
17,00044760.jpg,0.684211
18,00039564.jpg,0.652174
19,00004213.jpg,0.560976
20,00007742.jpg,0.820513
21,00038088.jpg,0.636364
22,00058473.jpg,0.902439
23,00004928.jpg,0.647059
24,00001974.jpg,0.812500
25,00048317.jpg,0.594595
26,00007088.jpg,0.805556
27,00016847.jpg,0.660000
28,00016392.jpg,0.763158
29,00039209.jpg,0.615385
30,00024151.jpg,0.828571
31,00037998.jpg,0.673913
32,00031870.jpg,0.750000
33,00047800.jpg,0.948718
34,00014785.jpg,0.700000
35,00028584.jpg,0.552632
36,00028152.jpg,0.763158
37,00029620.jpg,0.897436
38,00000609.jpg,0.729730
39,00024331.jpg,0.794118
40,00058443.jpg,0.800000
41,00028854.jpg,0.529412
42,00027491.jpg,0.714286
43,00049106.jpg,0.950000
44,00021064.jpg,0.820513
45,00019755.jpg,0.850000
46,00023138.jpg,0.846154
47,00046056.jpg,0.750000
48,00002369.jpg,0.826087
49,00042668.jpg,0.891892
50,00007628.jpg,0.674419
51,00014773.jpg,0.729167
52,00027534.jpg,0.942857
53,00020146.jpg,0.935484
54,00056502.jpg,0.815789
55,00058576.jpg,0.825000
56,00039687.jpg,0.925000
57,00007017.jpg,0.846154
58,00012693.jpg,0.851064
59,00051780.jpg,0.625000
60,00043382.jpg,0.605263
61,00036052.jpg,0.431818
62,00002874.jpg,0.629630
63,00004859.jpg,0.863636
64,00023292.jpg,0.894737
65,00058703.jpg,0.972222
66,00050602.jpg,0.868421
67,00054321.jpg,0.789474
68,00046316.jpg,0.777778
69,00026078.jpg,0.750000
70,00055835.jpg,0.769231
71,00033907.jpg,0.725000
72,00009912.jpg,0.923077
73,00049592.jpg,0.763158
74,00030756.jpg,0.829268
75,00055889.jpg,0.820513
76,00057784.jpg,0.613636
77,00031927.jpg,0.871795
78,00000452.jpg,0.725000
79,00054201.jpg,0.886364
80,00032169.jpg,0.820513
